Date,Open,High,Low,Close,Adj Close,Volume,Open SMA(10),High SMA(10),Low SMA(10),Close SMA(10),Adj Close SMA(10),Volume SMA(10)
2021-01-18,1949.099976,1997,1923.349976,1983.949951,1977.588257,16198856,1943.345007,1964.445007,1917.170007,1940.029993,1933.809070,14247721.400000
2021-01-19,1994.650024,2031,1994.650024,2016.400024,2009.934204,14771048,1945.910010,1969.185010,1921.035010,1945.059997,1938.822949,14611545.900000
2021-01-20,2021.400024,2058,2001.400024,2054.699951,2048.111328,14271669,1951.460010,1978.385010,1930.660010,1959.104993,1952.822913,13897285.800000
2021-01-21,2082,2120,2075,2099.399902,2092.667969,18038987,1967.610010,1995.885010,1947.645007,1977.929980,1971.587537,14209343.900000
2021-01-22,2111,2115.350098,2035.150024,2049.600098,2043.027832,14090818,1986.910010,2013.580017,1959.950012,1989.519995,1983.140393,14347446.500000
2021-01-25,2034.949951,2034.949951,1932,1941,1934.776001,25016570,1996.525000,2023.195007,1963.900012,1993.894995,1987.501367,15311947.900000
2021-01-27,1925,1925,1888,1895,1888.923462,19553809,1998.725000,2019.695007,1962.710010,1987.689990,1981.316260,15367724.100000
2021-01-28,1880.150024,1923.300049,1870,1876.550049,1870.532715,15722291,1990.384997,2014.530017,1957.865015,1981.464990,1975.111218,15711465.600000
2021-01-29,1894.300049,1913.099976,1830,1841.949951,1836.043579,20173258,1985.315002,2009.150012,1946.960010,1969.599988,1963.284265,16734109.600000
2021-02-01,1859.400024,1905,1848,1895.300049,1889.222534,15774504,1975.195007,2002.270007,1939.755005,1965.384997,1959.082788,17361181.000000
2021-02-02,1914.25,1940,1854.949951,1925.800049,1919.624756,19138414,1971.710010,1996.570007,1932.915002,1959.570007,1953.286438,17655136.800000
2021-02-03,1928.300049,1952,1900,1930.650024,1924.459229,13984228,1965.075012,1988.670007,1923.450000,1950.995007,1944.738941,17576454.800000
2021-02-04,1924,1940,1905,1924.300049,1918.129517,11826848,1955.335010,1976.870007,1913.809997,1937.955017,1931.740759,17331972.700000
2021-02-05,1930.050049,1944.650024,1920,1923.75,1917.581299,9344470,1940.140015,1959.335010,1898.309997,1920.390027,1914.232092,16462521.000000
2021-02-08,1933.050049,1969,1929.050049,1951.449951,1945.192383,9776136,1922.345019,1944.700000,1887.700000,1910.575012,1904.448548,16031052.800000
2021-02-09,1961.949951,1989.599976,1952.300049,1956.150024,1949.877441,9047308,1915.045019,1940.165003,1889.730005,1912.090015,1905.958692,14434126.600000
2021-02-10,1953.75,1984.75,1927.300049,1974.300049,1967.969238,9799560,1917.920019,1946.140003,1893.660010,1920.020020,1913.863269,13458701.700000
